model	rmsd_full	rmsd_framework	rmsd_h1	rmsd_h2	rmsd_h3	rmsd_l1	rmsd_l2	rmsd_l3	pdb
7so9_unrelaxed_rank_006_alphafold2_multimer_v3_model_4_seed_003	0.443	0.522	0.5	0.544	5.056	0.286	0.394	0.408	7so9
7so9_unrelaxed_rank_011_alphafold2_multimer_v3_model_4_seed_004	0.434	0.511	0.508	0.547	5.161	0.289	0.407	0.403	7so9
7so9_unrelaxed_rank_014_alphafold2_multimer_v3_model_3_seed_002	0.411	0.512	0.435	0.557	5.261	0.3	0.396	0.365	7so9
7so9_unrelaxed_rank_025_alphafold2_multimer_v3_model_2_seed_000	0.421	0.511	0.509	0.465	4.503	0.315	0.416	0.374	7so9
7so9_unrelaxed_rank_007_alphafold2_multimer_v3_model_1_seed_003	0.399	0.552	0.531	0.479	4.657	0.267	0.393	0.375	7so9
7so9_unrelaxed_rank_012_alphafold2_multimer_v3_model_3_seed_001	0.408	0.518	0.419	0.564	5.349	0.301	0.418	0.389	7so9
7so9_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_002	0.409	0.538	0.467	0.445	4.577	0.263	0.369	0.349	7so9
7so9_unrelaxed_rank_017_alphafold2_multimer_v3_model_2_seed_001	0.42	0.514	0.471	0.479	4.703	0.302	0.378	0.379	7so9
7so9_unrelaxed_rank_018_alphafold2_multimer_v3_model_3_seed_000	0.403	0.504	0.476	0.547	4.9	0.316	0.416	0.345	7so9
7so9_unrelaxed_rank_023_alphafold2_multimer_v3_model_4_seed_000	0.446	0.574	0.84	0.686	4.759	0.441	0.606	0.411	7so9
7stz_unrelaxed_rank_019_alphafold2_multimer_v3_model_4_seed_000	7.155	9.026	1.973	1.868	10.632	1.808	1.107	6.746	7stz
7stz_unrelaxed_rank_022_alphafold2_multimer_v3_model_4_seed_001	7.154	9.029	2.108	1.995	10.782	1.828	1.101	6.726	7stz
7stz_unrelaxed_rank_016_alphafold2_multimer_v3_model_3_seed_004	0.496	0.637	0.852	0.583	1.113	1.378	0.528	0.681	7stz
7stz_unrelaxed_rank_013_alphafold2_multimer_v3_model_5_seed_004	0.502	0.683	0.829	0.548	0.842	1.494	0.553	0.631	7stz
7stz_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000	0.479	0.711	0.73	0.435	0.512	1.533	0.514	0.849	7stz
7stz_unrelaxed_rank_024_alphafold2_multimer_v3_model_4_seed_004	7.208	9.05	1.748	1.663	10.375	1.895	1.005	6.558	7stz
7stz_unrelaxed_rank_010_alphafold2_multimer_v3_model_2_seed_004	0.516	0.907	1.009	0.669	0.921	1.896	0.653	1.201	7stz
7stz_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_002	0.517	0.662	0.642	0.424	0.67	1.444	0.534	0.625	7stz
7stz_unrelaxed_rank_015_alphafold2_multimer_v3_model_3_seed_003	0.47	0.632	0.614	0.431	0.628	1.375	0.52	0.712	7stz
7stz_unrelaxed_rank_007_alphafold2_multimer_v3_model_2_seed_001	0.436	0.71	0.82	0.472	0.534	1.4	0.494	0.8	7stz
7stz_unrelaxed_rank_008_alphafold2_multimer_v3_model_2_seed_003	0.42	0.672	0.789	0.464	0.545	1.51	0.511	0.806	7stz
7stz_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_000	7.144	9.014	1.921	1.861	10.303	1.864	1.152	6.752	7stz
7stz_unrelaxed_rank_018_alphafold2_multimer_v3_model_5_seed_001	0.443	0.7	0.729	0.478	0.621	1.543	0.524	0.823	7stz
7stz_unrelaxed_rank_012_alphafold2_multimer_v3_model_4_seed_003	0.48	0.706	0.693	0.469	0.516	1.585	0.536	0.981	7stz
7stz_unrelaxed_rank_017_alphafold2_multimer_v3_model_5_seed_002	0.48	0.7	0.734	0.518	0.718	1.611	0.559	0.877	7stz
7stz_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_004	0.457	0.681	0.849	0.459	0.529	1.491	0.505	0.873	7stz
7stz_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_001	7.139	9.017	1.905	1.875	10.139	1.767	1.076	6.583	7stz
7stz_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_003	0.482	0.628	0.848	0.552	0.886	1.388	0.517	0.615	7stz
7stz_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_002	7.349	9.111	1.378	1.303	10.234	1.982	0.915	6.587	7stz
7stz_unrelaxed_rank_009_alphafold2_multimer_v3_model_2_seed_002	0.448	0.981	0.979	0.615	0.9	1.823	0.661	1.153	7stz
7stz_unrelaxed_rank_006_alphafold2_multimer_v3_model_2_seed_000	0.397	0.756	0.859	0.515	0.572	1.425	0.508	0.842	7stz
7stz_unrelaxed_rank_011_alphafold2_multimer_v3_model_4_seed_002	0.503	0.671	0.647	0.483	0.559	1.546	0.504	0.999	7stz
7stz_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_001	0.464	0.691	0.712	0.412	0.452	1.462	0.49	0.782	7stz
7stz_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_003	0.505	0.65	0.76	0.395	0.521	1.473	0.493	0.78	7stz
7stz_unrelaxed_rank_020_alphafold2_multimer_v3_model_5_seed_000	7.104	9.002	1.997	1.854	10.433	1.93	1.142	6.579	7stz
7vux_unrelaxed_rank_015_alphafold2_multimer_v3_model_4_seed_002	0.333	0.612	0.347	0.462	0.652	0.517	0.414	0.349	7vux
7vux_unrelaxed_rank_010_alphafold2_multimer_v3_model_2_seed_004	0.345	0.684	0.486	0.355	0.628	0.461	0.41	0.452	7vux
7vux_unrelaxed_rank_021_alphafold2_multimer_v3_model_5_seed_004	0.354	0.671	0.499	0.4	0.563	0.563	0.548	0.538	7vux
7vux_unrelaxed_rank_012_alphafold2_multimer_v3_model_1_seed_003	0.374	0.723	0.45	0.411	0.609	0.489	0.439	0.486	7vux
7vux_unrelaxed_rank_008_alphafold2_multimer_v3_model_2_seed_001	0.346	0.656	0.47	0.332	0.616	0.441	0.41	0.456	7vux
7vux_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_002	0.337	0.68	0.595	0.509	0.58	0.61	0.555	0.648	7vux
7vux_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000	0.328	0.645	0.391	0.581	0.709	0.591	0.468	0.378	7vux
7vux_unrelaxed_rank_017_alphafold2_multimer_v3_model_1_seed_002	0.367	0.769	0.49	0.384	0.589	0.472	0.416	0.475	7vux
7vux_unrelaxed_rank_022_alphafold2_multimer_v3_model_3_seed_003	0.339	0.682	0.593	0.476	0.557	0.603	0.536	0.687	7vux
7vux_unrelaxed_rank_013_alphafold2_multimer_v3_model_3_seed_004	0.345	0.66	0.438	0.388	0.558	0.511	0.49	0.481	7vux
7vux_unrelaxed_rank_019_alphafold2_multimer_v3_model_3_seed_000	0.334	0.678	0.547	0.44	0.595	0.558	0.523	0.592	7vux
7vux_unrelaxed_rank_011_alphafold2_multimer_v3_model_1_seed_001	0.371	0.723	0.531	0.421	0.605	0.547	0.476	0.572	7vux
7vux_unrelaxed_rank_016_alphafold2_multimer_v3_model_5_seed_000	0.359	0.638	0.414	0.321	0.619	0.439	0.461	0.437	7vux
7vux_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_004	0.336	0.642	0.378	0.58	0.718	0.59	0.486	0.396	7vux
7vux_unrelaxed_rank_009_alphafold2_multimer_v3_model_2_seed_003	0.352	0.692	0.459	0.35	0.63	0.441	0.414	0.433	7vux
7vux_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_001	0.346	0.658	0.508	0.416	0.604	0.518	0.52	0.499	7vux
7vux_unrelaxed_rank_006_alphafold2_multimer_v3_model_4_seed_003	0.342	0.638	0.318	0.549	0.66	0.549	0.458	0.365	7vux
7vux_unrelaxed_rank_003_alphafold2_multimer_v3_model_4_seed_001	0.333	0.622	0.343	0.484	0.664	0.51	0.431	0.367	7vux
7vux_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_004	0.365	0.715	0.434	0.409	0.603	0.492	0.432	0.467	7vux
7vux_unrelaxed_rank_025_alphafold2_multimer_v3_model_5_seed_002	0.345	0.779	0.826	0.735	0.626	0.889	0.75	0.954	7vux
7vux_unrelaxed_rank_020_alphafold2_multimer_v3_model_2_seed_002	0.338	0.752	0.549	0.366	0.612	0.427	0.417	0.417	7vux
7vux_unrelaxed_rank_007_alphafold2_multimer_v3_model_1_seed_000	0.362	0.712	0.473	0.433	0.63	0.513	0.431	0.472	7vux
7vux_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000	0.338	0.68	0.438	0.255	0.614	0.35	0.375	0.319	7vux
7vux_unrelaxed_rank_023_alphafold2_multimer_v3_model_5_seed_003	0.351	0.676	0.551	0.455	0.578	0.586	0.564	0.597	7vux
7vux_unrelaxed_rank_018_alphafold2_multimer_v3_model_3_seed_001	0.341	0.673	0.538	0.403	0.567	0.575	0.51	0.63	7vux
